country names
Afghanistan
Akrotiri and Dhekelia
Albania
Algeria
American Samoa
Andaman and Nicobar Islands
Andorra
Angola
Anguilla
Antarctica
Antigua and Barbuda
Argentina
Armenia
Aruba
Arunachal Pradesh
"Ascension, Saint Helena and Tristan da Cunha"
Ashmore and Cartier Islands
Australia
Austria
Azerbaijan
Bahamas
Bahrain
Baker Island
Bangladesh
Barbados
Bassas da India
Belarus
Belgium
Belize
Benin
Bermuda
Bhutan
Bird Island
Bolivia (Plurinational State of)
"Bonaire, Sint Eustatius and Saba"
Bosnia and Herzegovina
Botswana
Bouvet Island
Brazil
British Indian Ocean Territory
British Virgin Islands
Brunei Darussalam
Bulgaria
Burkina Faso
Burundi
Cabo Verde
Cambodia
Cameroon
Canada
Canary Islands
Canton and Enderbury Islands
Cayman Islands
Central African Republic
Chad
Chagos Archipelago
Channel Islands
Chile
China
"China, Hong Kong SAR"
"China, Macao SAR"
Christmas Island
Clipperton Island
Cocos (Keeling) Islands
Colombia
Comoros
Congo
Cook Islands
Coral Sea Islands Territory
Costa Rica
Croatia
Cuba
Curaçao
Cyprus
Czechia
Côte d'Ivoire
Democratic People's Republic of Korea
Democratic Republic of the Congo
Denmark
Diego Garcia
Djibouti
Dominica
Dominican Republic
Ecuador
Egypt
El Salvador
Equatorial Guinea
Eritrea
Estonia
Eswatini
Ethiopia
Europa Island
European Union
Falkland Islands (Malvinas)
Faroe Islands
Fiji
Finland
France
French Guiana
French Polynesia
French Southern Territories
Gabon
Gambia
Gaza Strip
Georgia
Germany
Ghana
Gibraltar
Glorioso Islands
Golan Heights
Greater Antilles
Greece
Greenland
Grenada
Guadeloupe
Guam
Guatemala
Guernsey
Guinea
Guinea-Bissau
Guyana
Haiti
Hala'ib Triangle
Heard and McDonald Islands
Holy See
Honduras
Howland Island
Hungary
Iceland
Ilemi Triangle
India
Indonesia
Iran (Islamic Republic of)
Iraq
Ireland
Isle of Man
Israel
Italy
Jamaica
Jammu and Kashmir
Japan
Jarvis Island
Jersey
Johnston Atoll
Johnston Island
Jordan
Juan de Nova Island
Kazakhstan
Kenya
Kerguelen Islands
Kingman Reef
Kiribati
Kosovo
Kuril Islands
Kuwait
Kyrgyzstan
Lao People's Democratic Republic
Latvia
Lebanon
Lesotho
Lesser Antilles
Liancourt Rocks
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Ma'tan al-Sarra
Madagascar
Madeira Islands
Malawi
Malaysia
Maldives
Mali
Malta
Marion Island
Marshall Islands
Martinique
Mauritania
Mauritius
Mayotte
Mexico
Micronesia (Federated States of)
Midway Islands
Monaco
Mongolia
Montenegro
Montserrat
Morocco
Mozambique
Myanmar
Nagorno-Karabakh region of Azerbaijan
Namibia
Nauru
Navassa Island
Nepal
Netherlands
Neutral Zone
New Caledonia
New Zealand
Nicaragua
Niger
Nigeria
Niue
Norfolk Island
North Macedonia
Northern Mariana Islands
Norway
Occupied Palestinian Territory
Oman
Pakistan
Palau
Palestine
Palmyra Atoll
Panama
"Panama, Former Canal Zone"
Papua New Guinea
Paracel Islands
Paraguay
Persian Gulf
Peru
Philippines
Pitcairn
Poland
Portugal
Prince Edward Island
Puerto Rico
Qatar
Republic of Korea
Republic of Moldova
Romania
Ross Dependency
Russian Federation
Rwanda
Réunion
Saint Barthélemy
Saint Kitts and Nevis
Saint Lucia
Saint Pierre and Miquelon
Saint Vincent and the Grenadines
Saint-Martin (French part)
Samoa
San Marino
Sao Tome and Principe
Saudi Arabia
Scarborough Reef
Senegal
Senkaku Islands
Serbia
Seychelles
Sierra Leone
Singapore
Sint Maarten (Dutch part)
Slovakia
Slovenia
Solomon Islands
Somalia
South Africa
South Georgia and the South Sandwich Islands
South Sudan
Spain
Spratly Islands
Sri Lanka
Sudan
Suriname
Svalbard and Jan Mayen Islands
Sweden
Switzerland
Syrian Arab Republic
Taiwan Province of China
Tajikistan
Thailand
Timor-Leste
Togo
Tokelau
Tonga
Trinidad and Tobago
Tromelin Island
Trust Territory of the Pacific Islands
Tunisia
Turkmenistan
Turks and Caicos Islands
Tuvalu
Türkiye
Uganda
Ukraine
United Arab Emirates
United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania
"United Republic of Tanzania, Zanzibar"
United States Minor Outlying Islands
United States Virgin Islands
United States of America
Uruguay
Uzbekistan
Vanuatu
Venezuela (Bolivarian Republic of)
Viet Nam
Wake Island
Wallis and Futuna Islands
West Bank
West Papua
Western Sahara
Yemen
Zambia
Zimbabwe
Åland Islands
